公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
北京基调网络股份有限公司,听云,150-500人,上市公司,朝阳区,Python研发工程师,3-5年,本科,17k-24k,上市公司 带薪年假 地铁周边
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"初创公司,技术驱动"
颐邦（北京）医院管理有限公司,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,1-3年,本科,15k-25k,"团队优秀,技术强,薪酬高,福利好"
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,Python 开发工程师,5-10年,本科,18k-20k,发展前景好
北京木瓜移动科技股份有限公司,木瓜移动,150-500人,B轮,海淀区,Python开发工程师,1-3年,本科,8k-15k,"新项目,技术挑战大,定期分享,扁平化管理"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,1-3年,本科,18k-35k,"全五险一金,牛人多,发展快,福利好"
北京创新伙伴教育科技有限公司,智课网,500-2000人,B轮,海淀区,python开发工程师,1-3年,本科,10k-20k,七险一金、大牛带队
慧影医疗科技（北京）有限公司,慧影医疗,150-500人,C轮,海淀区,python工程师,3-5年,本科,15k-25k,"弹性工作,七险一金,十三薪"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升"
北京点石经纬科技有限公司,OKAY智慧教育,150-500人,B轮,海淀区,高级python工程师,5-10年,大专,20k-30k,"机会多多,平台好,领导好"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,中级python开发工程师,不限,本科,20k-35k,"领导好,不打卡,午晚餐,年底双薪"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
北京源清慧虹信息科技有限公司,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,3-5年,本科,20k-30k,"二次医疗,健身场所,福利补助"
国美金控投资有限公司,国美金控,2000人以上,未融资,朝阳区,python研发工程师,5-10年,本科,30k-40k,"大平台,新项目,领导卓越"
北京朗势科技有限公司,tataUFO,50-150人,B轮,海淀区,高级Python工程师,3-5年,本科,25k-35k,"8天年假,五险一金,扁平化管理,年终奖"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python工程师（ai）,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
北京深海巨鲸信息科技有限公司,鲸媒体,15-50人,A轮,海淀区,资深Python 工程师,1-3年,不限,14k-20k,"五险一金,员工福利,餐补,双休"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,3-5年,本科,20k-30k,发挥空间 晋升空间 牛人多 团队优秀
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,全勤奖,餐补,年终奖金"
会找房（北京）网络技术有限公司,会分期,150-500人,D轮及以上,海淀区,Python开发工程师(J10100),3-5年,大专,15k-30k,"五险一金,十四薪,弹性工作"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,Java/Python开发工程师（19届）,应届毕业生,本科,12k-24k,"每日下午茶,舒适的环境,可爱的伙伴"
上海福萝电子科技有限公司,Cobo Wallet,15-50人,A轮,朝阳区,"Python, nodejs，golang工程师",3-5年,本科,30k-60k,"股权激励,成长空间,大牛团队,良好环境"
北京中环信科科技股份有限公司,中环信科,50-150人,未融资,朝阳区,Python开发工程师,1-3年,本科,12k-20k,弹性工作 工作小餐点 与国外团队对接
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,3-5年,本科,20k-40k,"上市公司,六险一金,发挥空间,团队氛围"
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴"
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,python工程师(北京),1-3年,本科,15k-25k,发展前景广阔
北京天桐互动信息技术有限公司,天桐互动,15-50人,A轮,朝阳区,高级Python工程师,1-3年,本科,20k-35k,"期权激励,扁平化管理,五险一金,年底双薪"
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
北京智能优学科技有限公司,熊猫加加,15-50人,未融资,朝阳区,Python高级开发工程师,3-5年,本科,25k-30k,"五险一金,技术大牛,团队出游,部门聚餐"
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python中高级开发工程师,5-10年,大专,15k-30k,五险一金 带薪假 海外旅游 节假福利
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python后端开发工程师,不限,本科,20k-30k,福利待遇
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
北京点石经纬科技有限公司,OKAY智慧教育,150-500人,B轮,海淀区,python服务开发工程师,1-3年,本科,12k-24k,"领导nic,大平台"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,3-5年,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金
北京图森智途科技有限公司,图森未来,150-500人,C轮,朝阳区,Python后端工程师,1-3年,本科,15k-30k,"行业前沿,大牛云集,发展空间大,薪酬福利好"
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,高级Python研发工程师,5-10年,本科,20k-35k,"水果零食,扁平化管理,弹性工作"
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,高级Python工程师,5-10年,本科,25k-35k,纽交所上市 美资 生命科学 股票
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（数据）,1-3年,本科,20k-30k,"上市公司,丰富福利,数据驱动,免费旅游"
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,架构师（Python）,5-10年,本科,30k-40k,bat
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python工程师,3-5年,本科,17k-34k,"地铁周边,零食水果,福利优厚,五险一金"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python后端工程师-经理级,3-5年,本科,20k-30k,"七险一金,14薪,晋升空间,部门负责人"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python开发工程师,3-5年,本科,10k-18k,"一日三餐,六险一金,14薪,定期团建"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,高级python后端工程师,3-5年,本科,20k-35k,"领导好,不打卡,氛围好"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,Python软件工程师,3-5年,本科,15k-25k,纽交所上市 美资 生命科学 股票
盛和（北京）资讯科技有限公司,盛和资讯,15-50人,A轮,西城区,Python算法工程师（初中级）,1-3年,本科,15k-25k,"高收入,热门领域,发展前景"
北京百乘金科科技有限公司,百乘集团,2000人以上,上市公司,朝阳区,Python量化系统工程师,3-5年,本科,20k-40k,"五险一金,绩效奖金,餐补,带薪年假"
北京小川在线网络技术有限公司,最右,150-500人,B轮,海淀区,高级后端开发工程师（Python方向）,不限,本科,25k-50k,技术驱动产品、技术氛围浓厚、高薪高股
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集"
北京火币天下网络技术有限公司,火币网,150-500人,A轮,海淀区,高级python开发工程师,3-5年,本科,20k-35k,"六险一金,午餐补助,下午茶,区块链行业"
北京合志可成科技有限公司,北京合志可成科技有限公司,150-500人,不需要融资,海淀区,python,3-5年,本科,20k-35k,团队优秀，技术深耕
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,大牛多
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,python研发工程师,5-10年,本科,15k-30k,"薪酬福利好,云计算公司"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,3-5年,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好"
北京来也网络科技有限公司,助理来也,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"人工智能,弹性工作,扁平管理,技术牛人"
路书（北京）科技有限公司,路书,50-150人,A轮,朝阳区,python研发工程师,3-5年,本科,18k-30k,"期权分享,高颜值产品,年度旅游,弹性工作制"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,Python开发工程师,不限,本科,20k-40k,优秀的团队
北京国富如荷网络科技有限公司,经管之家（原人大经济论坛）,50-150人,天使轮,朝阳区,Python工程师,3-5年,本科,16k-28k,C轮 全额六险一金、14薪
小叶子（北京）科技有限公司,The ONE,500-2000人,C轮,朝阳区,python,3-5年,本科,20k-30k,"免费午晚餐,五险一金,交补,年终奖"
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,python开发工程师,5-10年,大专,15k-25k,大平台
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,3-5年,本科,25k-50k,"独角兽,待遇好"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,高级python开发工程师,3-5年,本科,15k-30k,"大牛带队,注重成长,季度奖金,免费午餐"
北京优思安科技有限公司,积云教育,150-500人,A轮,昌平区,Python高级讲师,3-5年,本科,20k-30k,"五险一金,餐补,周末双休,班车接送"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,旷视研究院-高级python工程师,1-3年,本科,30k-50k,技术氛围浓厚 大牛带队 发展空间大
北京蚂蜂窝网络科技有限公司,马蜂窝,500-2000人,D轮及以上,朝阳区,python开发工程师 (MJ000414),1-3年,本科,20k-30k,"免费早午饭,免费班车,年度旅游,六险一金"
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"团队优秀,福利优厚"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级Python研发工程师（DevOps经验优先）,3-5年,本科,15k-25k,"上市公司,大数据企业,年终奖金,带薪年假"
北京超盟数据科技有限公司,超盟数据,50-150人,A轮,朝阳区,Python开发工程师（应用方向）,3-5年,本科,20k-40k,新零售，人工智能，六险一金，周末双休
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python 研发工程师,3-5年,本科,25k-45k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间
北京音未文化传媒有限责任公司,V.FINE MUSIC,50-150人,A轮,朝阳区,python后端,3-5年,本科,25k-50k,产品类型大而少见。挑战性强。
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,python开发工程师,5-10年,大专,20k-30k,"七险一金,绩效奖金"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,golang/python高级工程师,3-5年,本科,25k-45k,福利待遇好
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,Python（语音智能）,1年以下,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
赤子城网络技术（北京）有限公司,赤子城,150-500人,D轮及以上,朝阳区,中高级Python开发工程师（广告方向）,3-5年,本科,20k-30k,"七险一金,8天年假,团队氛围好,学习空间大"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python研发工程师,1-3年,本科,20k-25k,"扁平化管理,免费中午餐,下午茶零食,六险一金"
北京优虎商务服务有限公司,老虎集团,150-500人,C轮,朝阳区,Python开发工程师,1-3年,本科,20k-40k,"六险一金,超多假期"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python工程师,1-3年,本科,20k-40k,"技术驱动,极客氛围,大牛团队"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,Python开发,3-5年,本科,20k-40k,"六险一金,年假,上市公司,大平台"
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,海淀区,【Python资深研发工程师】,3-5年,本科,30k-40k,Geek、六险一金、16薪、弹性工作
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-40k,"优秀团队,工场项目,六险一金,金融科技"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,服务端高级开发工程师Golang/Python,3-5年,本科,35k-45k,"优厚待遇,技术导向"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,5-10年,本科,25k-30k,"团队氛围好,高速发展,福利多多"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,5-10年,本科,30k-45k,"三餐,健身房,mac"
北京融联世纪信息技术有限公司,融360,500-2000人,D轮及以上,海淀区,Python研发工程师,5-10年,本科,20k-40k,"优质团队,福利待遇"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,学习氛围,绩效奖金"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
北京墨迹风云科技股份有限公司,墨迹天气,150-500人,不需要融资,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"5亿用户,六险一金"
北京春雨天下软件有限公司,春雨医生,150-500人,C轮,海淀区,Python,3-5年,本科,20k-40k,有挑战，自主加薪，技术氛围好
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,12k-20k,"核心业务,行业大牛,弹性作息,超多福利"
北京信链科技有限公司,信链科技,150-500人,A轮,朝阳区,python开发工程师,1-3年,大专,10k-20k,"风口行业,靠谱团队,发展空间，丰厚福利"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,Python开发工程师,5-10年,本科,20k-40k,技术大牛团
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 开发工程师,1-3年,本科,18k-36k,"弹性工时,一日三餐"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,Python开发工程师（反Spam方向）,1-3年,本科,15k-30k,"技术氛围好,核心业务"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,股票期权，五险一金，交补餐补，零食水果
视觉（中国）文化发展股份有限公司北京分公司,视觉中国,150-500人,上市公司,朝阳区,python开发工程师,3-5年,本科,15k-25k,"上市公司,六险一金,带薪年假,绩效奖金"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,25k-40k,"技术大牛多,福利待遇好"
北京福易得信息技术有限公司,福易得,150-500人,未融资,朝阳区,高级python开发工程师,3-5年,本科,30k-60k,15薪 每年两次晋升调薪机会
北京天融信网络安全,北京天融信公司,2000人以上,上市公司,海淀区,python开发工程师,1-3年,本科,10k-15k,"七险一金,年终奖,带薪年假,带薪病假"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发工程师（商业变现校招）,应届毕业生,本科,20k-26k,六险一金，高薪期权，弹性工作，免费三餐
人人贷商务顾问（北京）有限公司,人人贷,2000人以上,A轮,海淀区,Python开发高级工程师,3-5年,本科,30k-60k,"五险一金,节假日礼金,竞争力薪酬"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,服务端Python工程师-北京,3-5年,不限,20k-40k,优秀团队 优秀项目
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python工程师,不限,本科,15k-25k,"免费中晚餐,下午茶,六险一金,扁平化管理"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,python开发工程师,5-10年,本科,20k-40k,"五险一金,补充医疗,带薪年假,上市公司"
京东商城-技术研发体系-大数据部,京东商城研发部,2000人以上,上市公司,大兴区,Python,5-10年,本科,30k-50k,"行业前沿,部门直招,核心加班,核心团队"
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python工程师,3-5年,本科,15k-25k,"带薪年假,福利多,办公环境好,团队氛围好"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-40k,六险一金，高薪期权，弹性工作，免费三餐
迪原创新（北京）科技有限公司南京分公司,Dilato,150-500人,未融资,海淀区,Python开发,3-5年,本科,13k-20k,六险一金 弹性工作 过节福利 弹性工作制
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,西城区,Python 开发工程师,3-5年,本科,15k-17k,"金融央企,五险一金"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发,1-3年,本科,20k-40k,"三餐,健身房,mac"
创新奇智（北京）科技有限公司,创新奇智,150-500人,天使轮,海淀区,高级Python开发工程师,3-5年,本科,22k-32k,弹性工作不打卡-私人时间不加班-有钱任性
武汉平安中信置业有限公司,武汉平安中信置业有限公司,150-500人,不需要融资,海淀区,python开发工程师,5-10年,本科,20k-40k,技术大牛聚集地
北京完美创意科技有限公司,更美APP,150-500人,D轮及以上,朝阳区,高级Python开发工程师,3-5年,本科,25k-45k,"弹性工时,出国游,扁平化团队,带薪年假"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,5-10年,硕士,25k-40k,"五险一金,交通补,免费早餐,定期体检"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python后端工程师,3-5年,本科,25k-50k,大牛多
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,Python 中级工程师,3-5年,本科,15k-25k,带薪年假+福利多+办公环境好+氛围自由开放
北京自造星球科技有限公司,牛顿Newton,50-150人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"区块链,高成长"
北京天融信网络安全,北京天融信公司,2000人以上,上市公司,海淀区,python开发工程师(J10126),1-3年,不限,10k-15k,七险一金
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,python开发工程师,3-5年,本科,15k-30k,"知名大厂,技术氛围浓,技术大牛多,成长快"
北京宏链科技有限公司,宏链科技,50-150人,不需要融资,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,Python研发工程师,3-5年,本科,35k-55k,"硕士最好,不加班,18薪,有期权"
迪原创新（北京）科技有限公司南京分公司,Dilato,150-500人,未融资,海淀区,python开发,3-5年,本科,13k-18k,六险一金双休无加班500强企业技术大咖
北京刷刷看网络科技有限公司,刷刷看,150-500人,A轮,朝阳区,Python工程师,1-3年,本科,15k-30k,"地铁周边,移动社交,牛人大咖多,新兴行业"
北京中谷金科信息技术有限公司,中谷金科,50-150人,B轮,通州区,高级python工程师,5-10年,本科,18k-25k,"晋升快,人工智能,量化开发,五险一金"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,Python,3-5年,本科,40k-60k,"免费中晚餐,下午茶,六险一金,扁平化管理"
北京链上科技有限责任公司,链上科技,50-150人,A轮,海淀区,高级Python研发工程师,3-5年,本科,20k-35k,基础14薪 六险一金 免费健身
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,python高级工程师/开发专家,3-5年,本科,25k-50k,发展空间大
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-25k,平台好，发展空间大
北京南天软件有限公司,南软,500-2000人,上市公司,海淀区,Python开发工程师,3-5年,本科,10k-18k,"五险一金,年终奖金,带薪年假,交补话补"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Java/PHP/Python工程师,3-5年,本科,15k-30k,"带薪年假,福利多,办公环境好,氛围自由"
赤子城网络技术（北京）有限公司,赤子城,150-500人,D轮及以上,朝阳区,python开发,3-5年,本科,18k-28k,七险一金，绩效奖金
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,3-5年,本科,15k-25k,"五险一金,绩效奖金,免费早餐,交补餐补"
北京春雨天下软件有限公司,春雨医生,150-500人,C轮,海淀区,python,不限,本科,18k-36k,"弹性工作制,技术氛围好,感谢基金,精英团队"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python工程师-赴微软小冰,1-3年,本科,8k-10k,"六险一金,带薪年假,节日福利,弹性工作"
