公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
天使轮,20-99人,https://www.zhipin.com/job_detail/f2cc3c2aebd8a9a91XF_2Nq-EVc~.html,后端Django(Python)工程师,10k-20k,北京 石景山区 鲁谷,3-5年,本科,安和瑞福,互联网,杨尚仁,招聘者,发布于11月15日
不需要融资,20-99人,https://www.zhipin.com/job_detail/0b26fb21d49b34911XJ83N25EVs~.html,Python工程师,12k-24k,北京 海淀区 香山,3-5年,本科,雨辰视美,信息安全,赵月迎,招聘者,发布于11月12日
B轮,100-499人,https://www.zhipin.com/job_detail/a648411fbe817f641XF72tS5EVU~.html,Python研发工程师,25k-50k,北京 海淀区 西二旗,3-5年,本科,茄子快传,互联网,韩猛,招聘者,发布于12月06日
已上市,1000-9999人,https://www.zhipin.com/job_detail/28f36533d27b1a261nJ53dS0FVU~.html,Python开发工程师,15k-25k,北京 海淀区 中关村,3-5年,本科,汽车之家,互联网,赵欣,招聘,发布于12月06日
B轮,100-499人,https://www.zhipin.com/job_detail/ae574fd694dd75911XB439-6EVY~.html,Python工程师,10k-20k,北京 朝阳区 北苑,1-3年,大专,北京雷石,互联网,郑伊,hr,发布于08月06日
不需要融资,100-499人,https://www.zhipin.com/job_detail/5bda50b5e88a3a1a1XF73dy1F1A~.html,Python 测试开发,10k-18k,北京 海淀区 中关村,3-5年,本科,云智汇,互联网,肖琳琳,hr,发布于08月22日
A轮,0-20人,https://www.zhipin.com/job_detail/65e8e6ea24caf8201HRz2Nq8FlM~.html,python,10k-15k,北京 朝阳区 高碑店,1年以内,本科,大云科技,移动互联网,晋晨,招聘者,发布于12月07日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/7f3f8b6b57ba3dfe1n1y0tq6GVM~.html,Python开发工程师,20k-40k,北京 海淀区 双榆树,1-3年,本科,北京字节跳动,移动互联网,Jane,HR,发布于05月02日
B轮,100-499人,https://www.zhipin.com/job_detail/ac7bbe415ac477391Xxy29m7E1E~.html,Python架构师,30k-59k,北京 朝阳区 潘家园,3-5年,大专,诸葛找房网,移动互联网,于海玲,招聘者,发布于10月30日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/d6aaa8866ff8c5fa1Xd_2Nm7EVA~.html,高级Python研发工程师,30k-50k,北京 朝阳区 望京,5-10年,本科,更美app,互联网,杨晓楠,HRBP,发布于10月16日
天使轮,0-20人,https://www.zhipin.com/job_detail/78f0ac442d6573791n1439W-EVQ~.html,python后台工程师,10k-20k,北京 朝阳区 酒仙桥,经验不限,大专,追本溯源科技,互联网,零振勰,CEO,发布于07月18日
A轮,20-99人,https://www.zhipin.com/job_detail/64da2a13a53df8ee1Xx729q6ElQ~.html,Python工程师（后端）,15k-30k,北京 朝阳区 立水桥,3-5年,本科,金睛云华,信息安全,韩明超,招聘者,发布于10月17日
已上市,1000-9999人,https://www.zhipin.com/job_detail/c1ac2c87498af6e21HRy39W4ElE~.html,Python开发leader,30k-40k,北京 海淀区 马连洼,5-10年,本科,广联达,计算机软件,刘莉莉,招聘者,发布于12月07日
,100-499人,https://www.zhipin.com/job_detail/45842f1c27b5e2511XJ-29S7GVE~.html,Python,25k-40k,北京 西城区 马连道,1年以内,本科,华视网聚,音乐/视频/阅读,王明爽,招聘者,发布于09月13日
A轮,100-499人,https://www.zhipin.com/job_detail/531a8a40b28e4f591HR93NW-F1o~.html,Python开发工程师,15k-20k,北京 海淀区 北京大学,1-3年,本科,清北华数教育,培训机构,李宏宇,招聘者,发布于12月04日
未融资,100-499人,https://www.zhipin.com/job_detail/87d029d7208a91911XF_0t2_FFc~.html,Software Developer(Python and Java),15k-20k,北京 朝阳区 团结湖,5-10年,学历不限,CRMFactory,计算机软件,王冉,HR,发布于08月30日
未融资,20-99人,https://www.zhipin.com/job_detail/66d0f3460a6158671HV63t60FFU~.html,Python 架构师,35k-50k,北京 朝阳区 酒仙桥,5-10年,本科,智能优学,互联网,杨焱,招聘者,发布于昨天
B轮,100-499人,https://www.zhipin.com/job_detail/dba9e14cc539d7ba1XJ83tm7GFQ~.html,中高级Python工程师,15k-30k,北京 海淀区 五道口,3-5年,本科,学堂在线,互联网,王勇,招聘者,发布于09月28日
C轮,100-499人,https://www.zhipin.com/job_detail/6c64bfcb35daa8181nx-2N-9ElI~.html,Python研发工程师,20k-40k,北京 朝阳区 朝阳路,3-5年,本科,LBE TECH,移动互联网,韩秦,HRBP,发布于11月29日
未融资,1000-9999人,https://www.zhipin.com/job_detail/9fc1ff4bf123da811XV82Nu7FFE~.html,高级软件工程师 (Python),20k-40k,北京 顺义区 后沙峪,5-10年,本科,华卓餐饮,餐饮,林新,招聘专员,发布于07月30日
B轮,20-99人,https://www.zhipin.com/job_detail/eaedf79e58e725001X1z09S4Els~.html,python工程师,8k-12k,北京 丰台区 花乡,1-3年,本科,中金标准数据,数据服务,李雪娜,招聘者,发布于11月23日
不需要融资,10000人以上,https://www.zhipin.com/job_detail/f29e581847fa2b971Xd52dW4E1Y~.html,Python开发高级工程师,25k-50k,北京 大兴区 ,3-5年,学历不限,京东数字科技,互联网,何军,招聘者,发布于07月18日
已上市,1000-9999人,https://www.zhipin.com/job_detail/abfefd33e5014df41XZ-3ti5Els~.html,python开发工程师,25k-50k,北京 朝阳区 大屯,1-3年,本科,京东云,计算机软件,陈希,招聘者,发布于11月27日
C轮,500-999人,https://www.zhipin.com/job_detail/b35a8bcc50a8c0bd1X1429S4Flc~.html,python实习生,2k-4k,北京 海淀区 四季青,应届生,本科,首都在线,互联网,彭杉杉,高级招聘专员,发布于11月06日
A轮,20-99人,https://www.zhipin.com/job_detail/8c5d7e6c17f1ab341XJ93ti1EVM~.html,高级Python后端工程师,20k-30k,北京 海淀区 学院路,1-3年,本科,希子,在线教育,侯煜欣,CTO,发布于10月22日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/ae6f88e5615d4ef31XVz3tW5E1c~.html,Python开发工程师,23k-45k,北京 海淀区 苏州街,3-5年,本科,LinkDoc,移动互联网,王晓蕊,招聘主管,发布于12月04日
不需要融资,20-99人,https://www.zhipin.com/job_detail/ad68c7e01a6412e21XV62di1E1U~.html,Python开发,15k-30k,北京 海淀区 万柳,1-3年,本科,智胜新格,游戏,高慧丽,HRBP,发布于09月17日
A轮,20-99人,https://www.zhipin.com/job_detail/5598b25b0ec023591nJ_39y9GVY~.html,Python研发工程师,15k-30k,北京 海淀区 万泉河,3-5年,本科,小叶科技,互联网,李冲,ceo,发布于08月23日
A轮,20-99人,https://www.zhipin.com/job_detail/9e533e248a64f8da1X1-2Nq1GVA~.html,AI python开发工程师,25k-50k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,Alice,招聘者,发布于11月09日
不需要融资,20-99人,https://www.zhipin.com/job_detail/c50de5bbe3c509231XR409u7ElE~.html,高级python（爬虫方向）,18k-32k,北京 朝阳区 望京,3-5年,大专,欧特欧咨询,数据服务,相福平,hrd,发布于05月11日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/71c0429ad0361b961Xd40t27E1E~.html,Python,15k-25k,北京 海淀区 知春路,3-5年,本科,网梯科技发展有限公司,计算机软件,郑莉,招聘经理,发布于07月18日
未融资,20-99人,https://www.zhipin.com/job_detail/b85db61f7aef09d31XV429u5EVI~.html,python开发,15k-23k,北京 海淀区 上地,3-5年,本科,知了点点,在线教育,Yoyo,人力资源,发布于08月30日
A轮,20-99人,https://www.zhipin.com/job_detail/dc942c519b238f911HRy3dy-ElY~.html,Python高级开发,15k-30k,北京 昌平区 回龙观,1-3年,学历不限,音悦荚,移动互联网,宋先生,招聘者,发布于12月05日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/dfea30b4d3cc07621nx_0961GFM~.html,Python 算法工程师,18k-36k,北京 朝阳区 团结湖,1-3年,本科,闪银奇异,移动互联网,陈曦,风控系统研发总监,发布于03月27日
未融资,20-99人,https://www.zhipin.com/job_detail/e388876c456f3ca81HR82tW0FFs~.html,python 实习生,3k-4k,北京 昌平区 天通苑,经验不限,本科,阿姨多多,电子商务,刘炳林,CEO,发布于12月01日
B轮,100-499人,https://www.zhipin.com/job_detail/0739f6957ca2ff911XZ409m1FVY~.html,Python开发工程师,20k-30k,北京 朝阳区 望京,3-5年,本科,APUS,互联网,张娜,HR,发布于06月27日
A轮,0-20人,https://www.zhipin.com/job_detail/3d63becfc733ea1d1XNy2Nm4EVE~.html,Python开发工程师,20k-40k,北京 海淀区 上地,3-5年,硕士,极致控,互联网金融,李群,招聘者,发布于11月06日
已上市,100-499人,https://www.zhipin.com/job_detail/74d95c6a55a23c681HR-2dq7GFQ~.html,Python架构师,30k-50k,北京 海淀区 苏州街,5-10年,本科,北京天润融通,通信/网络设备,梁艳霞,HR,发布于11月28日
已上市,10000人以上,https://www.zhipin.com/job_detail/0da9846949a20a981Xd4292_FFU~.html,Python后端开发工程师,30k-50k,北京 海淀区 马连洼,3-5年,本科,百度,互联网,陈宇哲,招聘者,发布于07月16日
不需要融资,20-99人,https://www.zhipin.com/job_detail/77dc3e51507f35ac1Xx_3t67FVY~.html,Python开发工程师,10k-15k,北京 丰台区 花乡,3-5年,学历不限,万维星辰,信息安全,韩雪,人力资源,发布于10月25日
D轮及以上,500-999人,https://www.zhipin.com/job_detail/384469e763fc54a11Xd93928GVY~.html,视频抓取-Python工程师,20k-38k,北京 朝阳区 望京,1-3年,硕士,一点资讯,移动互联网,刘国芳,招聘者,发布于09月04日
,20-99人,https://www.zhipin.com/job_detail/cdc431abce843ada1HR-2N60E1E~.html,Python全栈开发,25k-35k,北京 海淀区 中关村,经验不限,本科,鸥思邦,人力资源服务,谭常娥,Recruiter,发布于12月05日
不需要融资,10000人以上,https://www.zhipin.com/job_detail/3cf166593d4362841XNz29u7EFA~.html,Python开发工程师,20k-40k,北京 海淀区 马连洼,5-10年,本科,网易乐得,互联网,祝女士,招聘者,发布于10月17日
已上市,1000-9999人,https://www.zhipin.com/job_detail/f9e43082d1b1f7a71Xx83t-8F1Y~.html,golang/python高级工程师,25k-45k,北京 海淀区 苏州街,3-5年,本科,趣头条,移动互联网,骆欣,招聘者,发布于10月26日
A轮,20-99人,https://www.zhipin.com/job_detail/4e5cabba90f1a5cf1XB63tW0FVA~.html,python高级工程师,15k-30k,北京 海淀区 上地,经验不限,学历不限,厦门渊亭,计算机软件,黄健媚,人事主管,发布于08月02日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/264b1bd5469e28051HR42d-8ElM~.html,Python实习生,4k-9k,北京 东城区 北新桥,经验不限,硕士,弘成教育,互联网,杜佳,招聘经理,发布于11月23日
不需要融资,100-499人,https://www.zhipin.com/job_detail/4aeeca643811ab4f1XB42Nm-E1A~.html,python 开发工程师,12k-22k,北京 朝阳区 酒仙桥,3-5年,本科,邻萌宝,移动互联网,罗琰琰,招聘者,发布于10月12日
已上市,1000-9999人,https://www.zhipin.com/job_detail/ed2f4c62388cdb561XB60tS_GFE~.html,Python高级开发工程师,20k-40k,北京 海淀区 北京大学,3-5年,本科,爱奇艺,互联网,郭乔红,HR,发布于08月02日
不需要融资,500-999人,https://www.zhipin.com/job_detail/feacae4ce0c11c771Xx-2tm_FVY~.html,Python开发工程师,15k-20k,北京 海淀区 苏州桥,3-5年,本科,全品,计算机服务,史鹏举,招聘者,发布于10月23日
B轮,20-99人,https://www.zhipin.com/job_detail/44be3f4d4403bf311HRz3tq6EFo~.html,高级python开发,18k-25k,北京 通州区 ,3-5年,本科,中谷金科,互联网,龚雪,HR,发布于12月07日
C轮,1000-9999人,https://www.zhipin.com/job_detail/d651da90d7cdc5201nJz2ty4GFA~.html,高级python开发工程师（研究院）,25k-50k,北京 海淀区 中关村,3-5年,本科,旷视科技,移动互联网,王月,HR,发布于12月06日
不需要融资,20-99人,https://www.zhipin.com/job_detail/b0bc9b3c401d67021HR_2tW-F1c~.html,Python开发工程师,8k-11k,北京 海淀区 知春路,1-3年,本科,神州网信,计算机软件,马瑞阳,招聘者,发布于11月29日
B轮,100-499人,https://www.zhipin.com/job_detail/e92230c2818925a31XFz09y-F1A~.html,Python高级工程师,18k-30k,北京 海淀区 知春路,5-10年,本科,达观数据,数据服务,王佩佩,HRBP,发布于12月05日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/8ee2ef31e4c040001Xxy0t2-EFc~.html,python研发工程师,25k-40k,北京 大兴区 亦庄,5-10年,大专,新网,互联网,高德鹏,hrbp经理,发布于11月08日
B轮,100-499人,https://www.zhipin.com/job_detail/7b8af09beb50f6c21HR_2t6-GFs~.html,python区块链工程师,12k-23k,北京 朝阳区 三里屯,3-5年,本科,趣链,计算机软件,张贝龙,招聘者,发布于11月29日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/c4befde77f2ba3321X1y2d65ElI~.html,Python后端开发（leader岗位）,25k-50k,北京  ,5-10年,本科,知乎,移动互联网,马珊婷,招聘者,发布于11月16日
B轮,100-499人,https://www.zhipin.com/job_detail/bc9315216d257dbf1Xd729m5FFs~.html,Python开发工程师,15k-16k,北京 朝阳区 呼家楼,1-3年,硕士,朗镜科技,数据服务,祁美灵,招聘者,发布于07月13日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/d9f6967784084d891XR63N64E1o~.html,Python工程师（爬虫方向）,13k-26k,北京  ,3-5年,本科,北京计算机研究所,其他行业,刘慧琳,算法工程师,发布于05月07日
C轮,100-499人,https://www.zhipin.com/job_detail/59331bbd161e9bea1Xx_39S9Flc~.html,Python高级开发工程师,15k-20k,北京 海淀区 清河,3-5年,本科,格灵深瞳,计算机软件,王先生,前端工程师,发布于12月07日
A轮,20-99人,https://www.zhipin.com/job_detail/247b996c4c53ebe81XNz29m8GFA~.html,Python开发工程师,20k-40k,北京 朝阳区 望京,3-5年,本科,看了吗视频,移动互联网,司楠楠,招聘者,发布于10月15日
天使轮,20-99人,https://www.zhipin.com/job_detail/59c20af8e57bef781X160t-7FFs~.html,Python开发工程师,12k-20k,北京 朝阳区 花家地,1年以内,本科,贪心科技,在线教育,李范,运营总监,发布于11月04日
C轮,100-499人,https://www.zhipin.com/job_detail/a53756b0e65b7a5f1HR_39m0GFI~.html,高级python开发,25k-35k,北京 朝阳区 太阳宫,3-5年,本科,老虎集团,互联网,张迪,HRBP,发布于11月29日
不需要融资,100-499人,https://www.zhipin.com/job_detail/2afb12bbb499e1c91HR92du-FlY~.html,高级Python开发工程师,20k-40k,北京 海淀区 五道口,3-5年,本科,iHandy,移动互联网,张微,招聘者,发布于12月03日
A轮,100-499人,https://www.zhipin.com/job_detail/ca629245b9c0fa981XN729W1Flc~.html,Python研发工程师,20k-40k,北京 朝阳区 北苑,5-10年,硕士,Cloudin云英,互联网,李俊华,招聘者,发布于11月28日
A轮,100-499人,https://www.zhipin.com/job_detail/d29fe6999a2eb3be1HRz2Nq_ElI~.html,Python开发工程师,20k-30k,北京 海淀区 上地,3-5年,本科,上新,电子商务,周渊,招聘者,发布于12月07日
未融资,20-99人,https://www.zhipin.com/job_detail/0e49ca2f83eca2fc1XN73di0F1M~.html,python后端开发,10k-20k,北京 海淀区 上地,经验不限,本科,硬球科技,互联网,董湾湾,招聘者,发布于09月27日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/1bae51e035e0b5631X160ty-EVc~.html,python开发工程师 (MJ000414),20k-30k,北京 朝阳区 大山子,1-3年,学历不限,马蜂窝,互联网,Grace,hr,发布于12月03日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/14f8f250f8b876551XZ52tu0GVQ~.html,高级Python开发工程师,20k-36k,北京  ,3-5年,大专,VIPKID,移动互联网,胡靖瑶,hr,发布于07月16日
A轮,20-99人,https://www.zhipin.com/job_detail/a664f6d3d6560d8b1HR40tu9E1s~.html,Python 爬虫工程师,10k-15k,北京 海淀区 五道口,3-5年,本科,极睿科技,新零售,王女士,行政,发布于11月26日
未融资,20-99人,https://www.zhipin.com/job_detail/1b069493a387e8931Xx_3NS-GVs~.html,Python高级工程师,15k-20k,北京 石景山区 古城,3-5年,本科,北行奇云,互联网,段昊然,副经理,发布于10月25日
B轮,20-99人,https://www.zhipin.com/job_detail/96119313a47ff2871HR-3di9FVE~.html,python量化交易,15k-20k,北京 朝阳区 朝外,经验不限,学历不限,通证科技,互联网,蓝女士,HR,发布于11月28日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/f9c9174b4f74a2ce1nJ62d2-GVQ~.html,Python开发工程师,20k-30k,北京  ,3-5年,大专,马上消费金融,互联网金融,李俊楠,hrbp,发布于12月06日
已上市,1000-9999人,https://www.zhipin.com/job_detail/a005c707486d679b1HRz2tm4FFA~.html,Python开发工程师,11k-18k,北京 海淀区 紫竹桥,3-5年,本科,先进数通,计算机软件,周靖怡,招聘者,发布于昨天
D轮及以上,100-499人,https://www.zhipin.com/job_detail/01ad0713b568d8d71XV_3ti_EFE~.html,Python高级研发工程师,20k-40k,北京 朝阳区 望京,3-5年,本科,更美app,互联网,秦晶佳,HR,发布于09月27日
B轮,100-499人,https://www.zhipin.com/job_detail/106b71072976935b1XR70t2_EFs~.html,Python开发工程师,12k-15k,北京 海淀区 五道口,1-3年,本科,阿凡题,移动互联网,雷蕾,HRBP,发布于11月30日
天使轮,0-20人,https://www.zhipin.com/job_detail/f1827dd19b8c36581XJ80tq0E1A~.html,Python开发工程师,15k-25k,北京 朝阳区 国贸,3-5年,本科,爱选科技,保险,张萌,HR经理,发布于09月18日
已上市,1000-9999人,https://www.zhipin.com/job_detail/05a21dbc2660074c1HV63d-5Elo~.html,Python老师,8k-12k,北京  ,经验不限,本科,北京乐博乐博,在线教育,葛胜杰,招聘者,发布于昨天
未融资,20-99人,https://www.zhipin.com/job_detail/02fc046e49ffcd4d1X173d--FFo~.html,python研发工程师,20k-35k,北京 朝阳区 三里屯,3-5年,本科,乐途原动力,互联网,张女士,HRD,发布于11月05日
A轮,20-99人,https://www.zhipin.com/job_detail/7309043802dc83301XB73N61ElI~.html,python后端工程师,10k-20k,北京 丰台区 花乡,1-3年,本科,商高科技,计算机软件,魏江坤,HR,发布于08月09日
天使轮,0-20人,https://www.zhipin.com/job_detail/215332ee2575530e1X1809q6F1E~.html,资深Python工程师,20k-40k,北京 海淀区 五道口,经验不限,本科,瑞莱智慧科技,计算机服务,田天,招聘者,发布于11月14日
不需要融资,100-499人,https://www.zhipin.com/job_detail/c31a89255564430d1n1839--F1o~.html,Python开发工程师,20k-40k,北京 海淀区 中关村,3-5年,本科,波场,互联网,王征,招聘经理,发布于08月02日
A轮,100-499人,https://www.zhipin.com/job_detail/88bb82b5c57bbece1XR60928EFM~.html,PYTHON开发工程师,15k-30k,北京 海淀区 清河,1-3年,本科,阿博茨科技,互联网,Cathy,hrbp,发布于06月27日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/03fe67958e6b38ee1XV70ti4GFc~.html,Python开发工程师,15k-30k,北京 海淀区 学院路,3-5年,本科,知乎,移动互联网,湛童,Hr,发布于06月01日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/aae1c2ce17f0325b1X140tm0F1A~.html,Python开发,18k-28k,北京 朝阳区 三元桥,3-5年,本科,赤子城,互联网,柳逸,招聘者,发布于11月07日
已上市,500-999人,https://www.zhipin.com/job_detail/9e455789f3db6a811XV809m7FlA~.html,python实训讲师,10k-15k,北京  ,1-3年,本科,光环国际,在线教育,冯朦朦,HR,发布于06月13日
C轮,100-499人,https://www.zhipin.com/job_detail/13b15d0ce482ed341X1y2NW5E1A~.html,Python开发工程师,20k-35k,北京 海淀区 清华大学,3-5年,本科,春雨医生,O2O,春小雨,招聘经理（HRBP）,发布于11月16日
不需要融资,20-99人,https://www.zhipin.com/job_detail/1300bfda82011fc71XB_2N26ElE~.html,Python爬虫工程师,15k-20k,北京 朝阳区 北苑,3-5年,本科,51COO,互联网,周女士,招聘者,发布于08月30日
B轮,100-499人,https://www.zhipin.com/job_detail/19e1c52b1432b58a1X1739W6E1M~.html,技术经理（侧重python后端）,20k-30k,北京 朝阳区 东大桥,5-10年,本科,车势科技,互联网,孟津瑶,招聘者,发布于11月16日
不需要融资,100-499人,https://www.zhipin.com/job_detail/3e0fc04d9e470ca91HRy0t-0E1Q~.html,python工程师,20k-40k,北京 朝阳区 太阳宫,3-5年,本科,国富如荷,在线教育,Melissa,HRD,发布于12月06日
A轮,20-99人,https://www.zhipin.com/job_detail/6c2b355d748e157d1HR42t-1GVE~.html,Python后端开发工程师,25k-40k,北京 东城区 东直门,3-5年,本科,客知音,计算机软件,王琼,招聘者,发布于11月23日
C轮,100-499人,https://www.zhipin.com/job_detail/3aaa6b98cf566cb91nx72Nq4E1o~.html,python开发工程师,20k-40k,北京 朝阳区 燕莎,1-3年,本科,老虎集团,互联网,韦夏云,HR,发布于11月23日
A轮,20-99人,https://www.zhipin.com/job_detail/6dad5c04d95a5ec71HR729m7FFU~.html,Python研发工程师,11k-13k,北京 海淀区 上地,1-3年,本科,九星数宇,数据服务,董先生,招聘者,发布于11月21日
C轮,20-99人,https://www.zhipin.com/job_detail/9a34984e9e1835fc1X1-3921FVs~.html,python后台开发工程师,25k-50k,北京 海淀区 中关村,3-5年,本科,newsdog,互联网,钱雨露,招聘者,发布于11月27日
未融资,500-999人,https://www.zhipin.com/job_detail/033c1a816a316e7c1nx_0ty8EVs~.html,PHP/python开发工程师,20k-40k,北京 海淀区 知春路,5-10年,本科,网心科技,互联网,Fiona,招聘经理,发布于11月14日
A轮,20-99人,https://www.zhipin.com/job_detail/bcd8d6c9ddf7d77b1nV-3d61GFc~.html,高级Python工程师,25k-40k,北京 东城区 北京站,5-10年,本科,路书,互联网,张媛,招聘者,发布于06月15日
,20-99人,https://www.zhipin.com/job_detail/213ddcf0e09e20271X172961FlA~.html,python高级工程师,20k-40k,北京 海淀区 万柳,3-5年,本科,链人信息,互联网,师伟,招聘者,发布于12月06日
已上市,1000-9999人,https://www.zhipin.com/job_detail/aca5462ef5b5994f1HR60ti4ElY~.html,Python人工智能讲师,25k-35k,北京 昌平区 西三旗,1-3年,本科,传智播客,在线教育,郭春艳,人事专员,发布于12月06日
D轮及以上,500-999人,https://www.zhipin.com/job_detail/09fec644618cae2d1XFy2d68FlQ~.html,Go/python--视频处理,23k-36k,北京 朝阳区 望京,1-3年,硕士,一点资讯,移动互联网,刘国芳,招聘者,发布于09月04日
B轮,100-499人,https://www.zhipin.com/job_detail/937af89590552b681XJz29m_F1M~.html,Python开发工程师,15k-30k,北京 昌平区 回龙观,1-3年,本科,美洽,互联网,杜潇然,招聘者,发布于09月21日
